srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system1rank,system2rank
NCM,NCM,8,-1,8,A2SN4E7PX1NCLY,-1,1,-1,35,1,2
NCM,NCM,8,-1,8,A3K1SXZ0FSJW1M,-1,1,-1,35,2,1
NCM,NCM,10,-1,10,A3K1SXZ0FSJW1M,-1,1,-1,35,1,1
NCM,NCM,10,-1,10,A2SN4E7PX1NCLY,-1,1,-1,35,1,2
NCM,NCM,10,-1,10,A1D33U75XYNXG0,-1,1,-1,35,1,1
NCM,NCM,11,-1,11,A2KBTDHM44J7X4,-1,1,-1,35,1,2
NCM,NCM,11,-1,11,AND2H9YQK1SN7,-1,1,-1,35,1,2
NCM,NCM,11,-1,11,A2KBTDHM44J7X4,-1,1,-1,35,1,2
NCM,NCM,12,-1,12,A3K1SXZ0FSJW1M,-1,1,-1,35,1,2
NCM,NCM,12,-1,12,A10AQXAV9KOYYJ,-1,1,-1,35,1,2
NCM,NCM,12,-1,12,A2KBTDHM44J7X4,-1,1,-1,35,1,2
NCM,NCM,13,-1,13,A3K1SXZ0FSJW1M,-1,1,-1,35,1,2
NCM,NCM,13,-1,13,A2SN4E7PX1NCLY,-1,1,-1,35,1,2
NCM,NCM,13,-1,13,A2KBTDHM44J7X4,-1,1,-1,35,1,2
NCM,NCM,14,-1,14,A2ATKM2N96OQPM,-1,1,-1,35,1,2
NCM,NCM,14,-1,14,AND2H9YQK1SN7,-1,1,-1,35,1,2
NCM,NCM,14,-1,14,A3K1SXZ0FSJW1M,-1,1,-1,35,1,2
NCM,NCM,15,-1,15,A3K1SXZ0FSJW1M,-1,1,-1,35,1,2
NCM,NCM,15,-1,15,A3K1SXZ0FSJW1M,-1,1,-1,35,1,2
NCM,NCM,15,-1,15,A2KBTDHM44J7X4,-1,1,-1,35,2,1
NCM,NCM,16,-1,16,A2SN4E7PX1NCLY,-1,1,-1,35,1,2
NCM,NCM,16,-1,16,A2SN4E7PX1NCLY,-1,1,-1,35,1,2
NCM,NCM,16,-1,16,A2KBTDHM44J7X4,-1,1,-1,35,1,2
NCM,NCM,17,-1,17,A3K1SXZ0FSJW1M,-1,1,-1,35,1,2
NCM,NCM,17,-1,17,A2KBTDHM44J7X4,-1,1,-1,35,1,2
NCM,NCM,17,-1,17,A2KBTDHM44J7X4,-1,1,-1,35,1,2
NCM,NCM,18,-1,18,A2ATKM2N96OQPM,-1,1,-1,35,1,2
